11-28 15:54:19: Training starting...
Episode 43: Reward: 12.00, Epsilon: 0.8021, k: 0.8974, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 44: Reward: 41.00, Epsilon: 0.7981, k: 0.9823, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 45: Reward: 33.00, Epsilon: 0.7941, k: 1.0136, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 46: Reward: 15.00, Epsilon: 0.7901, k: 0.9404, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 47: Reward: 23.00, Epsilon: 0.7862, k: 0.9196, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 48: Reward: 17.00, Epsilon: 0.7822, k: 0.8671, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 49: Reward: 26.00, Epsilon: 0.7783, k: 0.8705, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 50: Reward: 17.00, Epsilon: 0.7744, k: 0.8229, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 51: Reward: 15.00, Epsilon: 0.7705, k: 0.7688, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 52: Reward: 22.00, Epsilon: 0.7667, k: 0.7595, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 53: Reward: 24.00, Epsilon: 0.7629, k: 0.7624, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 54: Reward: 26.00, Epsilon: 0.7590, k: 0.7763, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 55: Reward: 41.00, Epsilon: 0.7553, k: 0.8734, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 56: Reward: 18.00, Epsilon: 0.7515, k: 0.8311, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 57: Reward: 17.00, Epsilon: 0.7477, k: 0.7874, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 58: Reward: 29.00, Epsilon: 0.7440, k: 0.8157, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 59: Reward: 40.00, Epsilon: 0.7403, k: 0.9032, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 60: Reward: 28.00, Epsilon: 0.7366, k: 0.9143, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 61: Reward: 13.00, Epsilon: 0.7329, k: 0.8397, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 62: Reward: 65.00, Epsilon: 0.7292, k: 1.0656, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 63: Reward: 17.00, Epsilon: 0.7256, k: 0.9985, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 64: Reward: 17.00, Epsilon: 0.7219, k: 0.9381, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 65: Reward: 20.00, Epsilon: 0.7183, k: 0.9006, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 66: Reward: 18.00, Epsilon: 0.7147, k: 0.8556, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 67: Reward: 21.00, Epsilon: 0.7112, k: 0.8320, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 68: Reward: 37.00, Epsilon: 0.7076, k: 0.9009, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 69: Reward: 13.00, Epsilon: 0.7041, k: 0.8277, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 70: Reward: 35.00, Epsilon: 0.7005, k: 0.8858, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 71: Reward: 34.00, Epsilon: 0.6970, k: 0.9324, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 72: Reward: 18.00, Epsilon: 0.6936, k: 0.8843, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 73: Reward: 43.00, Epsilon: 0.6901, k: 0.9818, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 74: Reward: 12.00, Epsilon: 0.6866, k: 0.8949, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 75: Reward: 55.00, Epsilon: 0.6832, k: 1.0589, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 76: Reward: 19.00, Epsilon: 0.6798, k: 1.0037, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 77: Reward: 11.00, Epsilon: 0.6764, k: 0.9090, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 78: Reward: 48.00, Epsilon: 0.6730, k: 1.0322, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 79: Reward: 17.00, Epsilon: 0.6696, k: 0.9684, Min Reward: 10.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 80: Reward: 8.00, Epsilon: 0.6663, k: 0.8715, Min Reward: 8.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 81: Reward: 18.00, Epsilon: 0.6630, k: 0.8392, Min Reward: 8.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 82: Reward: 21.00, Epsilon: 0.6597, k: 0.8265, Min Reward: 8.00, Max Reward: 81.00, Noise Penalty Scale: 0.1000
Episode 83: Reward: 82.00, Epsilon: 0.6564, k: 1.1438, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 84: Reward: 40.00, Epsilon: 0.6531, k: 1.2024, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 85: Reward: 16.00, Epsilon: 0.6498, k: 1.1254, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 86: Reward: 13.00, Epsilon: 0.6466, k: 1.0399, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 87: Reward: 19.00, Epsilon: 0.6433, k: 0.9954, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 88: Reward: 24.00, Epsilon: 0.6401, k: 0.9823, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 89: Reward: 13.00, Epsilon: 0.6369, k: 0.9111, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 90: Reward: 21.00, Epsilon: 0.6337, k: 0.8903, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 91: Reward: 17.00, Epsilon: 0.6306, k: 0.8499, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 92: Reward: 62.00, Epsilon: 0.6274, k: 1.0568, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 93: Reward: 55.00, Epsilon: 0.6243, k: 1.2052, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 94: Reward: 35.00, Epsilon: 0.6211, k: 1.2306, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 95: Reward: 18.00, Epsilon: 0.6180, k: 1.1616, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 96: Reward: 37.00, Epsilon: 0.6149, k: 1.2022, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 97: Reward: 17.00, Epsilon: 0.6119, k: 1.1306, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 98: Reward: 14.00, Epsilon: 0.6088, k: 1.0500, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 99: Reward: 30.00, Epsilon: 0.6058, k: 1.0639, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 100: Reward: 51.00, Epsilon: 0.6027, k: 1.1900, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 101: Reward: 35.00, Epsilon: 0.5997, k: 1.2169, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 102: Reward: 18.00, Epsilon: 0.5967, k: 1.1493, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 103: Reward: 15.00, Epsilon: 0.5937, k: 1.0722, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 104: Reward: 23.00, Epsilon: 0.5908, k: 1.0460, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 105: Reward: 17.00, Epsilon: 0.5878, k: 0.9901, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 106: Reward: 21.00, Epsilon: 0.5849, k: 0.9613, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 107: Reward: 14.00, Epsilon: 0.5820, k: 0.8976, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 108: Reward: 17.00, Epsilon: 0.5790, k: 0.8565, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 109: Reward: 15.00, Epsilon: 0.5762, k: 0.8087, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
Episode 110: Reward: 33.00, Epsilon: 0.5733, k: 0.8630, Min Reward: 8.00, Max Reward: 82.00, Noise Penalty Scale: 0.1000
