11-28 18:08:29: Training starting...
Episode 43: Reward: 12.00, Epsilon: 0.8021, k: 0.9029, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 44: Reward: 14.00, Epsilon: 0.7981, k: 0.8648, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 45: Reward: 19.00, Epsilon: 0.7941, k: 0.8740, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 46: Reward: 44.00, Epsilon: 0.7901, k: 1.0996, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 47: Reward: 18.00, Epsilon: 0.7862, k: 1.0766, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 48: Reward: 28.00, Epsilon: 0.7822, k: 1.1429, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 49: Reward: 14.00, Epsilon: 0.7783, k: 1.0808, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 50: Reward: 13.00, Epsilon: 0.7744, k: 1.0162, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 51: Reward: 18.00, Epsilon: 0.7705, k: 1.0015, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 52: Reward: 14.00, Epsilon: 0.7667, k: 0.9535, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 53: Reward: 18.00, Epsilon: 0.7629, k: 0.9451, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 54: Reward: 18.00, Epsilon: 0.7590, k: 0.9376, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 55: Reward: 24.00, Epsilon: 0.7553, k: 0.9829, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 56: Reward: 21.00, Epsilon: 0.7515, k: 0.9977, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 57: Reward: 17.00, Epsilon: 0.7477, k: 0.9762, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 58: Reward: 16.00, Epsilon: 0.7440, k: 0.9481, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 59: Reward: 22.00, Epsilon: 0.7403, k: 0.9751, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 60: Reward: 10.00, Epsilon: 0.7366, k: 0.8949, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 61: Reward: 16.00, Epsilon: 0.7329, k: 0.8750, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 62: Reward: 14.00, Epsilon: 0.7292, k: 0.8397, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 63: Reward: 10.00, Epsilon: 0.7256, k: 0.7731, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 64: Reward: 11.00, Epsilon: 0.7219, k: 0.7219, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 65: Reward: 16.00, Epsilon: 0.7183, k: 0.7193, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 66: Reward: 32.00, Epsilon: 0.7147, k: 0.8560, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
Episode 67: Reward: 22.00, Epsilon: 0.7112, k: 0.8922, Min Reward: 8.00, Max Reward: 54.00, Noise Penalty Scale: 0.1000
