11-28 10:10:29: Training starting...
Episode 61: Reward: 12.00, Epsilon: 0.7329, k: 106.9091, Noise Penalty Scale: 0.1000
Episode 62: Reward: 16.00, Epsilon: 0.7292, k: 108.0727, Noise Penalty Scale: 0.1000
Episode 63: Reward: 25.00, Epsilon: 0.7256, k: 109.8909, Noise Penalty Scale: 0.1000
Episode 64: Reward: 18.00, Epsilon: 0.7219, k: 111.2000, Noise Penalty Scale: 0.1000
Episode 65: Reward: 19.00, Epsilon: 0.7183, k: 112.5818, Noise Penalty Scale: 0.1000
Episode 66: Reward: 15.00, Epsilon: 0.7147, k: 113.6727, Noise Penalty Scale: 0.1000
Episode 67: Reward: 14.00, Epsilon: 0.7112, k: 114.6909, Noise Penalty Scale: 0.1000
Episode 68: Reward: 21.00, Epsilon: 0.7076, k: 116.2182, Noise Penalty Scale: 0.1000
Episode 69: Reward: 19.00, Epsilon: 0.7041, k: 117.6000, Noise Penalty Scale: 0.1000
Episode 70: Reward: 20.00, Epsilon: 0.7005, k: 119.0545, Noise Penalty Scale: 0.1000
Episode 71: Reward: 13.00, Epsilon: 0.6970, k: 120.0000, Noise Penalty Scale: 0.1000
Episode 72: Reward: 11.00, Epsilon: 0.6936, k: 120.8000, Noise Penalty Scale: 0.1000
Episode 73: Reward: 15.00, Epsilon: 0.6901, k: 121.8909, Noise Penalty Scale: 0.1000
Episode 74: Reward: 13.00, Epsilon: 0.6866, k: 122.8364, Noise Penalty Scale: 0.1000
Episode 75: Reward: 12.00, Epsilon: 0.6832, k: 123.7091, Noise Penalty Scale: 0.1000
Episode 76: Reward: 9.00, Epsilon: 0.6798, k: 124.3636, Noise Penalty Scale: 0.1000
Episode 77: Reward: 11.00, Epsilon: 0.6764, k: 125.1636, Noise Penalty Scale: 0.1000
Episode 78: Reward: 12.00, Epsilon: 0.6730, k: 126.0364, Noise Penalty Scale: 0.1000
Episode 79: Reward: 23.00, Epsilon: 0.6696, k: 127.7091, Noise Penalty Scale: 0.1000
Episode 80: Reward: 16.00, Epsilon: 0.6663, k: 128.8727, Noise Penalty Scale: 0.1000
Episode 81: Reward: 25.00, Epsilon: 0.6630, k: 130.6909, Noise Penalty Scale: 0.1000
Episode 82: Reward: 23.00, Epsilon: 0.6597, k: 132.3636, Noise Penalty Scale: 0.1000
Episode 83: Reward: 14.00, Epsilon: 0.6564, k: 133.3818, Noise Penalty Scale: 0.1000
Episode 84: Reward: 26.00, Epsilon: 0.6531, k: 135.2727, Noise Penalty Scale: 0.1000
Episode 85: Reward: 12.00, Epsilon: 0.6498, k: 136.1455, Noise Penalty Scale: 0.1000
Episode 86: Reward: 15.00, Epsilon: 0.6466, k: 137.2364, Noise Penalty Scale: 0.1000
Episode 87: Reward: 12.00, Epsilon: 0.6433, k: 138.1091, Noise Penalty Scale: 0.1000
Episode 88: Reward: 13.00, Epsilon: 0.6401, k: 139.0545, Noise Penalty Scale: 0.1000
Episode 89: Reward: 15.00, Epsilon: 0.6369, k: 140.1455, Noise Penalty Scale: 0.1000
Episode 90: Reward: 16.00, Epsilon: 0.6337, k: 141.3091, Noise Penalty Scale: 0.1000
Episode 91: Reward: 17.00, Epsilon: 0.6306, k: 142.5455, Noise Penalty Scale: 0.1000
Episode 92: Reward: 12.00, Epsilon: 0.6274, k: 143.4182, Noise Penalty Scale: 0.1000
Episode 93: Reward: 20.00, Epsilon: 0.6243, k: 144.8727, Noise Penalty Scale: 0.1000
Episode 94: Reward: 11.00, Epsilon: 0.6211, k: 145.6727, Noise Penalty Scale: 0.1000
Episode 95: Reward: 14.00, Epsilon: 0.6180, k: 146.6909, Noise Penalty Scale: 0.1000
Episode 96: Reward: 10.00, Epsilon: 0.6149, k: 147.4182, Noise Penalty Scale: 0.1000
Episode 97: Reward: 20.00, Epsilon: 0.6119, k: 148.8727, Noise Penalty Scale: 0.1000
Episode 98: Reward: 25.00, Epsilon: 0.6088, k: 150.6909, Noise Penalty Scale: 0.1000
Episode 99: Reward: 22.00, Epsilon: 0.6058, k: 152.2909, Noise Penalty Scale: 0.1000
Episode 100: Reward: 10.00, Epsilon: 0.6027, k: 153.0182, Noise Penalty Scale: 0.1000
Episode 101: Reward: 21.00, Epsilon: 0.5997, k: 154.5455, Noise Penalty Scale: 0.1000
Episode 102: Reward: 15.00, Epsilon: 0.5967, k: 155.6364, Noise Penalty Scale: 0.1000
Episode 103: Reward: 19.00, Epsilon: 0.5937, k: 157.0182, Noise Penalty Scale: 0.1000
Episode 104: Reward: 10.00, Epsilon: 0.5908, k: 157.7455, Noise Penalty Scale: 0.1000
Episode 105: Reward: 12.00, Epsilon: 0.5878, k: 158.6182, Noise Penalty Scale: 0.1000
Episode 106: Reward: 11.00, Epsilon: 0.5849, k: 159.4182, Noise Penalty Scale: 0.1000
Episode 107: Reward: 12.00, Epsilon: 0.5820, k: 160.2909, Noise Penalty Scale: 0.1000
Episode 108: Reward: 16.00, Epsilon: 0.5790, k: 161.4545, Noise Penalty Scale: 0.1000
Episode 109: Reward: 16.00, Epsilon: 0.5762, k: 162.6182, Noise Penalty Scale: 0.1000
Episode 110: Reward: 11.00, Epsilon: 0.5733, k: 163.4182, Noise Penalty Scale: 0.1000
Episode 111: Reward: 12.00, Epsilon: 0.5704, k: 164.2909, Noise Penalty Scale: 0.1000
Episode 112: Reward: 24.00, Epsilon: 0.5676, k: 166.0364, Noise Penalty Scale: 0.1000
Episode 113: Reward: 24.00, Epsilon: 0.5647, k: 167.7818, Noise Penalty Scale: 0.1000
Episode 114: Reward: 12.00, Epsilon: 0.5619, k: 168.6545, Noise Penalty Scale: 0.1000
Episode 115: Reward: 22.00, Epsilon: 0.5591, k: 170.2545, Noise Penalty Scale: 0.1000
Episode 116: Reward: 30.00, Epsilon: 0.5563, k: 172.4364, Noise Penalty Scale: 0.1000
Episode 117: Reward: 12.00, Epsilon: 0.5535, k: 173.3091, Noise Penalty Scale: 0.1000
Episode 118: Reward: 12.00, Epsilon: 0.5507, k: 174.1818, Noise Penalty Scale: 0.1000
Episode 119: Reward: 22.00, Epsilon: 0.5480, k: 175.7818, Noise Penalty Scale: 0.1000
Episode 120: Reward: 11.00, Epsilon: 0.5452, k: 176.5818, Noise Penalty Scale: 0.1000
Episode 121: Reward: 11.00, Epsilon: 0.5425, k: 177.3818, Noise Penalty Scale: 0.1000
