11-28 14:24:57: Training starting...
Episode 61: Reward: 23.00, Epsilon: 0.7329, k: 101.8000, Noise Penalty Scale: 0.1000
Episode 62: Reward: 28.00, Epsilon: 0.7292, k: 103.6667, Noise Penalty Scale: 0.1000
Episode 63: Reward: 14.00, Epsilon: 0.7256, k: 104.6000, Noise Penalty Scale: 0.1000
Episode 64: Reward: 31.00, Epsilon: 0.7219, k: 106.6667, Noise Penalty Scale: 0.1000
Episode 65: Reward: 11.00, Epsilon: 0.7183, k: 107.4000, Noise Penalty Scale: 0.1000
Episode 66: Reward: 14.00, Epsilon: 0.7147, k: 108.3333, Noise Penalty Scale: 0.1000
Episode 67: Reward: 21.00, Epsilon: 0.7112, k: 109.7333, Noise Penalty Scale: 0.1000
Episode 68: Reward: 23.00, Epsilon: 0.7076, k: 111.2667, Noise Penalty Scale: 0.1000
Episode 69: Reward: 11.00, Epsilon: 0.7041, k: 112.0000, Noise Penalty Scale: 0.1000
Episode 70: Reward: 17.00, Epsilon: 0.7005, k: 113.1333, Noise Penalty Scale: 0.1000
Episode 71: Reward: 11.00, Epsilon: 0.6970, k: 113.8667, Noise Penalty Scale: 0.1000
Episode 72: Reward: 11.00, Epsilon: 0.6936, k: 114.6000, Noise Penalty Scale: 0.1000
Episode 73: Reward: 13.00, Epsilon: 0.6901, k: 115.4667, Noise Penalty Scale: 0.1000
Episode 74: Reward: 17.00, Epsilon: 0.6866, k: 116.6000, Noise Penalty Scale: 0.1000
Episode 75: Reward: 16.00, Epsilon: 0.6832, k: 117.6667, Noise Penalty Scale: 0.1000
Episode 76: Reward: 18.00, Epsilon: 0.6798, k: 118.8667, Noise Penalty Scale: 0.1000
Episode 77: Reward: 31.00, Epsilon: 0.6764, k: 120.9333, Noise Penalty Scale: 0.1000
Episode 78: Reward: 10.00, Epsilon: 0.6730, k: 121.6000, Noise Penalty Scale: 0.1000
Episode 79: Reward: 40.00, Epsilon: 0.6696, k: 124.2667, Noise Penalty Scale: 0.1000
