11-28 01:17:15: Training starting...
Episode 61: Reward: 17.00, Epsilon: 0.7329, k: 1.1739, Noise Penalty Scale: 0.1000
Episode 62: Reward: 55.00, Epsilon: 0.7292, k: 6.0000, Noise Penalty Scale: 0.1000
Episode 63: Reward: 39.00, Epsilon: 0.7256, k: 3.9574, Noise Penalty Scale: 0.1000
Episode 64: Reward: 24.00, Epsilon: 0.7219, k: 2.0426, Noise Penalty Scale: 0.1000
Episode 65: Reward: 37.00, Epsilon: 0.7183, k: 3.7021, Noise Penalty Scale: 0.1000
Episode 66: Reward: 17.00, Epsilon: 0.7147, k: 1.1489, Noise Penalty Scale: 0.1000
Episode 67: Reward: 16.00, Epsilon: 0.7112, k: 1.0213, Noise Penalty Scale: 0.1000
Episode 68: Reward: 19.00, Epsilon: 0.7076, k: 1.4043, Noise Penalty Scale: 0.1000
Episode 69: Reward: 29.00, Epsilon: 0.7041, k: 2.6809, Noise Penalty Scale: 0.1000
Episode 70: Reward: 16.00, Epsilon: 0.7005, k: 1.0213, Noise Penalty Scale: 0.1000
Episode 71: Reward: 28.00, Epsilon: 0.6970, k: 2.5532, Noise Penalty Scale: 0.1000
Episode 72: Reward: 15.00, Epsilon: 0.6936, k: 0.8936, Noise Penalty Scale: 0.1000
Episode 73: Reward: 12.00, Epsilon: 0.6901, k: 0.5106, Noise Penalty Scale: 0.1000
Episode 74: Reward: 24.00, Epsilon: 0.6866, k: 2.0426, Noise Penalty Scale: 0.1000
Episode 75: Reward: 19.00, Epsilon: 0.6832, k: 1.4043, Noise Penalty Scale: 0.1000
Episode 76: Reward: 12.00, Epsilon: 0.6798, k: 0.5106, Noise Penalty Scale: 0.1000
Episode 77: Reward: 28.00, Epsilon: 0.6764, k: 2.5532, Noise Penalty Scale: 0.1000
Episode 78: Reward: 23.00, Epsilon: 0.6730, k: 1.9149, Noise Penalty Scale: 0.1000
Episode 79: Reward: 35.00, Epsilon: 0.6696, k: 3.4468, Noise Penalty Scale: 0.1000
Episode 80: Reward: 14.00, Epsilon: 0.6663, k: 0.7660, Noise Penalty Scale: 0.1000
Episode 81: Reward: 23.00, Epsilon: 0.6630, k: 1.9149, Noise Penalty Scale: 0.1000
Episode 82: Reward: 24.00, Epsilon: 0.6597, k: 2.0426, Noise Penalty Scale: 0.1000
Episode 83: Reward: 12.00, Epsilon: 0.6564, k: 0.5106, Noise Penalty Scale: 0.1000
Episode 84: Reward: 10.00, Epsilon: 0.6531, k: 0.2553, Noise Penalty Scale: 0.1000
Episode 85: Reward: 28.00, Epsilon: 0.6498, k: 2.5532, Noise Penalty Scale: 0.1000
Episode 86: Reward: 24.00, Epsilon: 0.6466, k: 2.0426, Noise Penalty Scale: 0.1000
Episode 87: Reward: 19.00, Epsilon: 0.6433, k: 1.4043, Noise Penalty Scale: 0.1000
Episode 88: Reward: 9.00, Epsilon: 0.6401, k: 0.1277, Noise Penalty Scale: 0.1000
Episode 89: Reward: 14.00, Epsilon: 0.6369, k: 0.7660, Noise Penalty Scale: 0.1000
Episode 90: Reward: 49.00, Epsilon: 0.6337, k: 5.2340, Noise Penalty Scale: 0.1000
Episode 91: Reward: 16.00, Epsilon: 0.6306, k: 1.0213, Noise Penalty Scale: 0.1000
Episode 92: Reward: 19.00, Epsilon: 0.6274, k: 1.4043, Noise Penalty Scale: 0.1000
Episode 93: Reward: 18.00, Epsilon: 0.6243, k: 1.2766, Noise Penalty Scale: 0.1000
Episode 94: Reward: 14.00, Epsilon: 0.6211, k: 0.7660, Noise Penalty Scale: 0.1000
